1: 垃圾，一点都不好玩
295: 我玩的很开心，一关一关的过，心情很好。

296: 玩的真爽啊！

297: 没意思！

298: 都找不到比这还垃圾的了!!!

299: 不能玩

300: 联想的玩不了

301: 闪退，不好玩，连第一关都没玩上

302: 不好玩，进不去，好卡啊。

303: 还行吧！

304: 好比我名字提到的，宅男宅女都喜欢玩！

305: 联想的玩不了 怎么办  请教 请教

306: 闪退

307: 不好玩，到了第三关

308: 联想 的玩不了

309: 男生女生向前冲怎么打不开游戏呢

310: 用找乐助手玩不花钱 玩破解的

311: 不是很好玩

312: 总是跳出收费窗口，果断卸了！

313: 还可以吧！跑酷一类，就是有些关卡太难了，都不想玩了！动不动就提示收费！！

314: 打不开我苹果手机都打不开为啥呢一直黑屏大家最好别下

315: 就如我名一样，极好的！

316: 破游戏，压根打不开最好别下。

317: 跑酷啊。。。

318: 尼玛 排行第一的怎么回事 能跑10亿？？？？？？？？

319: 什么玩意啊啊

320: 葫芦侠有破解

321: 老师闪退，打都打不开。。。

322: 打不开

323: 真好玩屁股都没了啊

324: 第二关死机了

325: 打不开

326: 卧槽，进不去

327: 好玩

328: 闯关模式，无尽模式，好好玩儿呢。点赞！！！有些玩儿家，自己捉摸啊。不用花钱也可以过关的哦。

329: 就24关，有意义么

330: 都进不去，坑爹啊

331: 不好玩，还要钱

332: 考虑考虑下次

333: 很好~~~~~~

334: 才五级就要我十二元，坑爹啊！

335: 真心不好玩。。一个最强大脑赢了我全家。。。

336: 我们的家伙事情了。

337: 《软游市场》最好玩的软件啊

338: 你是话二逼

339: 游戏的同时也就特别喜欢我名字中提到的应用！

340: 还可以耍哦！还行吧！

341: 咔咔咔卡死了，没意思，玩这个游戏根本就是浪费时间，无聊惨了，这种游戏只有傻逼才玩……

342: 很幼稚的跑酷游戏，别下了，没意思

343: 不怎么样……无聊

344: 有病人

345: 联想的 玩不了 为什么 小米 的  我玩了 很好玩

346: 还行吧

347: 进不去，大家还是别下了，但手机超好的可以下来试试，但我的进不去。

348: 为啥子领了2礼包后 完全打不开

349: 不好玩，千万不要下载

350: 太好玩了。

351: 还挺好的！！！

