1: 为什么进不去！！！
156: 画面一般，只是卡片在动，最坑的还是配音，既然是官方的为什么不是日文发音，配个国语听起来总觉得是盗版！

157: 82级竞技场前十了

158: 好不错，69级了回忆

159: 还行，就是有些活动有点坑

160: 花了300大洋了，雅典娜，希路达和教皇邪都沒。

161: 不错，五十多级了，教皇邪  黄金圣斗士，雅典娜，希路达都有了，没花钱

162: 为什么我之前好多条评论没有在上面，还跟我玩过滤？！果然垃圾

163: 垃圾游戏，客服态度极差，经常出现问题，打电话给客服就敷衍了事，根本不会帮你解决，千万别下

164: 垃圾

165: 我嚓，卡牌！

166: 烧钱的游戏←_←

167: 游戏突然进不去了 每次进去就黑屏

168: 配音实在太恶心了 给卸了

169: vip3怎么不能一键抢夺啊

170: 好玩

171: 还可以消费太大很多平民玩不起，希望改改这样玩的人就多，说实话要想广大人民一起玩消费低一起玩玩开心就好

172: 什么东东啊！全是牌呀有毛意思呀

173: 垃圾中的战斗机  掉率极低 卡牌进化极难  搞个十连抽竟然黄金圣斗士不是100%出现   挺好的一个题材  让国内代理给毁了  黑心行为太过明显了  总之就是你不充个万八千的   你就别玩

174: 符吃饭方法换衣服的这些最新方法反对地方的形成机制的下传输速度的方法规划房地产可能出现问题否认我要求嚄你也在从吃饭我国我国我也不合附近附加费方法丰富韩国发地方的人  的的通过方法分vrvc吃放假在哪在家了一些事情了吗要么我也是个多少时间长了我说话我想你是不是你我我要求了新的我也要是我国你要你在你面前在家你也把

175: 现在流行人物模型，非要搞成卡牌，技能都看不出来，不符合完美的游戏风格！失败！

176: 渣渣游戏，礼包劳资从你出来就领了代码，到现在还是不能在游戏里兑换，客服不理人，什么渣渣游戏

177: 客服在哪？？！！！！  在线奖励的200钻石   就这么没了？！！！！靠

178: 这种卡牌真他妈的无聊！ 竟然还有人玩

179: 图面尚可，各种爆低率，体力太坑，不改进只能当做尝尝鲜

180: 坑钱一个月用了100多元

181: 体力系统最初是为了防沉迷用的，现在被这些黑心的运行商给商业化了，RMB购买体力，那么体力系统最初的作用已经不存在了，这些黑心的运行商真心可耻啊

182: 还不错

183: 你妈的老子有事一个月没玩吧老子19区的号删了，垃圾代理

184: BSH

185: 好玩谁有米伊美

186: 垃圾游戏进不去

187: 礼包哪里领

188: 槽    礼包还更不更新了

189: 今天刚下了 不错 挺好玩 可以进 也不闪退

190: 垃圾游戏，压根进不去，垃圾运营商，赚了钱了果断关服务器，我呸，还老了钱来

191: 為什麼徹底進不去

192: 最近2天怎么老是闪退，是手机的毛病还是服务器的毛病啊

193: 很晕闪退不说了进不去游戏没法玩这个数据库和服务器是不是出问题了连接池连接太少了把

194: 我都重新下载了40多次了还是无法更新  进不去这个是怎么回事晕很

195: 有木有进不去黑屏

196: 不好玩

197: 狂想星矢，本人射手

198: 游戏还行，就是抽奖的奖品出高级奖品的机率没有没升级前高了

199: 好玩评个5星

200: 真的，很好玩，但我换手机没记住我是哪个区的、、、、、、

201: 什么破游戏 满信号说无法连接网络 果断卸载 三星s4

202: 很好玩啊。。。可惜每天正忙的时候打boss...竞技场也没有先后手设定。。人物关系网太少。。想用五小强根本用不了。。

203: 一点都不好玩

204: 去你妈的

205: 开箱抽3星圣斗士的渺茫咱就不说了！占星也有些太坑，明明占星卡从紫色开始却出来蓝色的，金星就别想了，用10个占星卡出10个蓝魂，1000%的几率，坑。还有转盘，哎，别说了，玩过的人都知道。

206: 强烈要求日文原版配音！在世界boss金币鼓舞的时候，请在鼓舞成功之后减2000金币，不要每次点击就扣2000，这做法极度卑劣，每次鼓舞不是一次就成功，浪费好多金币。要知道，到后期金币都不够用！

207: 开始的积分卡金额ufh

208: 好玩。

209: 招了6个黄金圣斗士以后，花了大量星钻开了几十次金箱子都没再出过三星的将，太坑人了！！果断卸载，不玩了！！

210: 闪退，闪退，闪退，进不了游戏

211: 首先，宣传与实际严重不符，还千张卡牌，哪有，还集卡，连个图鉴都没有。
其决，你家圣斗士戴勋章，严重违和。
最后，各种bug，各种坑，各种暗改数据。

212: qa1

213: 之前才玩觉得还行，不过这几次更新后觉得玩起来要累，没激情了，暗改数据，抽奖看脸…各种坑

214: 确实很不错，配音也确实各种出戏，虽然是原版的中文配音，但是实在是受不了。。。现在要求日文原版也不现实就是了

215: 其他的还行，就是受不了那个配音，希望能改成日文原版的，那个听起来还舒服点

216: 好好玩

217: 总是闪退不好

218: 这个游戏挺好玩的.

219: 我玩了每天老是抽卡十次闪退，晕，我不玩了，

220: 还可以，我人物太多了，玩不好，但很好玩，赞

221: 感觉不错，慢慢修正

222: 觉得不好玩别玩，别说游戏不好。

223: 不如斗地主

224: 我是下载来听配音的

225: 进去就死机

226: 我叫mt还有刀塔传奇的山寨版，还不是3D的再加各种不出各种坑，卡顿，闪退，无语的一个游戏

227: 为什么总是闪退玩着玩着就退下来了:O

228: 游戏不错，配音还能更娘一点吗？换成日文原版吧，受不了了。还有主角那两个人物画像麻烦用心一点，太山寨了，你们用的什么画师？是模仿处女座和水瓶座没模仿好吗？还有gm是不是死人？不会说人话的？

229: 老是闪退，做着任务马上就完成了突然闪腿，我都快疯了~！

230: 要求配音改成小日本的！

231: 抽到两个神斗士

232: ？好。

233: 设置礼包好嘛别的游戏都有礼包总得来说游戏还算不错

234: 简直被这配音吓哭

235: 更新以后打斗的时候太卡了，出招特别慢，求团队赶快解决一下

236: 建议不要玩了……玩了几天感觉这游戏逼你充值。十连抽不出黄金圣斗士，靠碎片合成几乎不可能，一管精力打不出一个圣衣进化材料。总是就是爆率各种低，各种不给出啊！

237: 经典啊！好玩不好玩啊？

238: 为什么总是更新失败，这个好郁闷

239: 配音真真蛋疼

240: 配音0分。

241: 版本该的一时间没适应

242: 求把配音换成日文的  越玩越恶心了

243: 更新失败老是

244: 老是连接服务器，你妹的

245: 尼玛。怎么老是服务器连接错误啊

246: 今天老是连接不到服务器，怎么回事！！！！

247: 经常登陆失败，什么情况？

248: 严重圈钱的游戏，想钱想疯了

249: 妈的。。。。。进你妈都进不去   老子的手机可是三星B9388呀！

250: 好玩! 加油!

251: 太垃圾了，完美还是做点别的吧

252: 破游戏？音乐不能关？

253: 连接服务器失败……玩个毛啊

254: 其他都还好，就是这配音，随便在街上拉几个人配音就这么完事了？我也是醉了，

255: 从来不评论，但这配音也是醉了

256: 游戏很给力，可是体力，金币需要修改更新不给力！！！

257: 挺好玩！忆起童年

258: 这两天为什么登不上去啊

259: 系统优化还是有问题~卡的很

260: 装不了

261: 快点

262: 为嘛现在大区进不去了！

263: 太好玩了

264: 固定模式抽卡真心恶心，说4次和10次之后出3星，那就必须抽再多也木用，别指望有什么惊喜，真垃圾！

265: 那么多水军，老子为了你们，我也回来回复一条，这是老子玩过最垃圾的卡牌游戏，没有之一

266: 不错

267: 不错，就音乐恶心点。跑掉了

268: 还没有玩怎么知道啊

269: 艹，进不去了，一直验证中，垃圾，给一星都嫌多！

270: 退出了再进就进不去了

271: 游戏做的还行！就是活动有点太少了啊！玩着玩着就不知道干嘛了……希望多做点活动啊！

272: 挺好一游戏被配音毁了！要么你就配音专业点，是大街上拉的民工配的音吧，什么几把口音

273: 大区突然没有了

274: 27区不见了

275: ------

276: 不错

277: 我密码忘记了，怎么办找回密码相当麻烦，可惜了我5个四星两个橙卡的50多级号郁闷

278: 吐槽……怎么关掉语音，受不了了

279: 要不要网

280: 礼包 再来的多些吧 任性一下

281: 两天出一次区有啥意思？有那时间还不如出个活动

282: 老是闪退

283: 兑换码是什么东东，来一个啊

284: 好是挺好，不过玩久了就没意思了，界面太单调了。

285: 是啊，不要的卡牌可以分解就好了 啊，

286: 老出什么新区  多出点活动不行？？  还有出个卡牌分解行不  垃圾卡牌太多了

287: 点击头像有设置。关闭音乐

288: 如何关掉音乐

289: henherererererer

290: 礼品码不能粘贴 无语 领的时候还提示复制个毛啊

291: 礼包领不了

292: 很好玩的。

293: 很好很经典

294: 还可以的游戏

295: 礼包不能领，怎么回事，求解决啊

296: 最好将配音采用原版配音就更完美了！

297: 好玩吗？

298: 沙发

299: 题材没话说，游戏性能需要优化下，不够流畅

300: 很好，满足了回忆，支持

301: 太好玩了！请下载

302: 说闪退的肯定手机有问题

303: 怀旧吧！不过游戏界面不够，打开礼品栏要找半天才知道点头像也没个提示，礼品码不能粘贴只能一次输完，够考验记忆

304: 闪退，骗流量

305: 可以的话我想给0分，毫无创意不说还一直不停的闪退，卡机…………就没连续玩过30分钟过

306: 不错，蛮好玩的！也给大伙推荐一款玩法比较有创意的休闲游戏：“一个都不能剩”，新颖耐玩,玩家发挥想象空间大

