1: 245区，幻音坊急收人啊。求伙伴
126: 还有 PvP的时候 有时候网卡 不知道是人多还是我网络有问题 可我的是4g   还有一点 更新之后  全程都好像优化了 侠客增加了，换装系统真心不错   真希望 不良人能一直保持下去

127: 不错 还好我手机不卡  不过 特效做得有点夸张吧 说黑白无常 那些特效简直就把人遮住了 这一点有待提高

128: 渣渣 无操作的脑残游戏

129: 挺好玩的游戏

130: 为啥一直闪退

131: 老闪掉、现在根本进不去、

132: 唉！现在的游戏都这样中看不中用的吗？人家是手机选游戏，到这变成了游戏选手机……

133: 又进不去了，两天了。

134: 索尼闪掉，而且1000元充值卡，木有

135: 完不了，他说我手机配置过低，玩不了，需改尽

136: 还有没有人回答我的问题了？

137: 这个360客户端的不良人没有返利吗

138: 我希望不良人出要请好友

139: 我登录失败

140: 0分，卡屏，停止，强制退出

141: 下个区什么时候开？

142: 登了好久无法进游戏，求解？

143: 为什么登录失败啊。。。。

144: 啥时候出画江湖之灵主手游

145: 为何玩一会就闪退？好几次了，三星i9300  什么原因？

146: 动画不错的 就是不知道这手游会咋样

147: 用支付宝充钱冲不上，输入完支付密码，显示支付信息，然后又会支付密码去了┏ (^ω^)=☞

148: 哪里有1000元充值卡

149: 很好玩呢，感觉不错

150: 能不能解决我闪退的问题啊？？？？？？？解决不了，就只有删游戏了

151: 为什么登不上游戏乐，连论坛都登不上搞的我还以为手机坏了，结果其他都可以就这游戏和这游戏论坛登进去没网络

152: 以后绝对不在360平台下载游戏了，别的平台都有充值返利，唯独360没有，我真的很想不通

153: 之前游戏更新许多玩家好几天进不了游戏，说是有补偿。补偿在哪里？？什么时候有？

154: 礼包在游戏哪里兑换啊？？整这么隐蔽，搞什么啊？？？

155: 大家别在360这个平台下，我之前在这个平台充值结果360超时，钱收我的，但是没有给我元宝，害我的充值奖励没有了，找360解决就是让你留联系方式，然后就不理你，别的平台还有充值打折，这个360什么都没有，全要真金白银买，出了问题就回避。大家别在这里平台下载。早晚后悔

156: 队形能不能换一个。
   *    *     *                   *
      *     *                   *    *
                                *         *不要一直一个样子，很无聊的。

157: 都不错，但是开新区开得太快，每个区好像好少人

158: 对我这种绝对的黑白粉来说，他们俩不能止步于此啊！客服联系不了，无帐号，不想打电话。反正能看到就直接反映了吧。酒馆元宝的免费抽，得几年才能抽到一个好侠客？？

159: 炫酷的技巧，我取得名字让男人不得不喜欢！

