1: 太筒單了，一下子就過去了。人物還這麽醜。
409: 玩不了，老是加仔

410: 怎么一直在加载啊

411: 怎么老闪退，还怎么玩啊

412: 才玩6分钟就闪退了，好久解决闪退问题

413: 老是闪退     但是很好玩

414: 为什么一直加载呢

415: 要不要网络

416: 电视最好看~嘻嘻

417: 超级好玩赞赞赞

418: 好玩

419: 好玩到暴了，真过爽

420: 加载的时候就闪退,玩不了,怎么办。

421: 怎么打不开，快加载完的时候就弹回主屏幕

422: 闪退是你们手机的问题，我玩的时候从没出现过闪退

423: 好玩，赞(≧▽≦)/

424: 挺好，不过就是老闪退，但比花千骨有意

425: 还可以吧，只不过和自由之战一样，闪退，不知道什么情况

426: 老闪退，不过挺好玩的

427: 非常好玩，但是玩一会儿就自动退出了

428: 啊啊啊啊，闪退闪退，手机不好是我的错么π_π游戏还不错，赞！

429: 总是闪退啊

430: 为什么总闪退，能不能玩了……

431: 还不错，能改掉闪退的问题就好了。

432: 客服看见了帮忙一下，为什么我卸载了重新安装要重新开始玩，求帮忙，

433: 好玩是好玩…只是闪退……不挑战没事  一挑战就给闪退…望改进  

434: 无聊

435: 好玩

436: 加载到48就母加载咯

437: 好玩

438: 为什么不能进去？

439: 这个游戏怎么能这么好玩呢
支持电视旋风少女

440: 为什么总是闪退

441: 总是闪退，希望改进。

442: 这游戏超好玩，电视剧也好看，不错不错

443: 好玩，不过结束了，就要重玩

444: 很好玩哦，，，不错，，希望继续努力

445: 不错的游戏，好玩

446: 老闪退

447: 超好玩

448: 好玩

449: 好玩

450: 刚进去，又闪退，但好玩，好评！！！！

451: 为什么老是闪退。。。

452: 这个游戏太好玩了

453: 总是闪退，受不了

454: 嗯嗯嗯。蛮好玩的，支持啦！！

455: 闪退。。。。。。。

456: 游戏很好玩，就是老闪退，希望改进闪退迹象

457: 我上了好几遍，也没玩上，真是太坑人了。

458: 不怎么好，玩着玩着就跑走了，不怎么好，建议你们下载时，注意更新

459: 草，光闪屏

460: 太好玩了，只是会闪退

461: 玩五分钟就闪退 一直循环闪退 差评！！！

462: 整体还行  但是里面的人物跟现实差距太大，还有一些技能感觉怪怪的 还有剧情 但是大概还是不错滴 大爱杨洋 若白 么么哒～

463: 杨洋杨洋么么哒

464: 刚进去就被闪退出来了！改进改进啊！！！！！！！

465: 老是闪退，求改进！

466: 很好玩，力挺旋风少女游戏

467: 老闪退

468: 望改进闪退现象

469: 游戏是很好玩，但总是闪退

470: 好玩  我都40级了

471: 这游戏怎么进去呀？我卡在验证码上了，试一次又换一次，试了好多次了谁来教教我？

472: 看起来应该很好玩，可是它闪退！！！！

473: 陈翔陈翔陈翔

474: 游戏很好玩电视剧也好看，不闪退，不卡频，快来下载啊！力挺旋风少女电视剧和游戏!!!^O^

475: 很好玩的

476: 要闪退

477: 常在打到一半，就闪退。不过很好玩，也非常喜欢电视剧。

478: 为什么清理小广告要很久？

479: 出战时，排位可以调吗？如果可以，怎么调？

480: 好玩

481: 为什么我的数据没了？

482: 还没玩，刚要玩！&

483: 好玩，就是会闪退

484: 好好玩

485: 喜欢

486: 很好玩的这个游戏，哈哈

487: 好好好好好玩

488: 用联网不啊..

489: 怎么总是黑屏退出呀！不过也挺好玩，电视剧也超好看！支持


490: 喜欢看旋风少女的电视剧，游戏还这么好玩，大家都来玩。

491: 电视剧好看，游戏也不错

492: 为什么老闪退呀？

493: 赞！不仅电视剧这么好，就连游戏也是！

494: 老是自动返回

495: 不好玩，但电视剧延好看

496: 现在又在维护了(ㄒoㄒ)

497: 总说网不行，但支持旋风少女电视剧

498: 唉！人长的不好看不说。我的网明明很好说我连网超时卡的要命。不过还是喜欢旋风少女电视剧

499: 清理小广告的时候老卡，进不去。

500: 经常进不去，不过我支持旋风少女！

501: 好玩！

502: 不错，就是经常闪退

503: 好好玩的呢，也不闪退，支持旋风少女，酷酷哒

504: 好玩，但是为什么老是闪退？？

505: 这游戏太好玩了

506: 打不开

507: 为什么经验药水用不了，可以出售却不可以使用！？

508: 自从更新了后很渣，老是格式不对

509: 千万别下，太卡啦

510: 为何闪退

511: 不知道好坑啊

512: 为什么打不开

513: 怎么请求版本失败

514: 打不开T^T

