1: 怎么找客服  啊  我现在账号上不去了

2: 我玩了一年多  结果被封号

3: 为什么我登录以后，选好服务器了，就是进不去呢，怎么回事
287: 闪退，就是个网页的垃圾游戏

288: 没玩过这个游戏

289: 差评竟然不让发表，360的垃圾也就这样了

290: 纠结了，我wifi八兆宽带的wifi，竟然连接游戏失败，尼玛逼的什么垃圾玩意

291: 每天都来做任务

292: 玩了好几天了，感觉还是不错滴

293: 说实话是款很不错的游戏

294: 还可以，爱不释手

295: 希望装备越来越强大

296: 还不错，一直在玩

297: 马上打通四阶

298: 电视剧同名手游，赞

299: 我玩着挺好的

300: 我很喜欢里面的坐骑

301: 每天都要记得来领礼包啊

302: 很适合大屏手机

303: 做任务升级很快，朋友说40级以后才比较好玩，我才19级。。。

304: 游戏上线的很快啊，电视剧才播完没多久啊

305: 挺朋友说不错，什么时候出IOS的啊

306: 大屏手机玩起来比较爽一些

307: 这款网游还是不错滴

308: 天天都在玩

309: 确实挺好玩的

310: 看起来不错呢

311: 什么仙国志，什么暗黑的，来人家地盘打广告的吧？就凭玩家嘴里这干净程度，就知道玩那游戏的人都是些什么人了~~

312: 画的跟电视剧很像啊，画面很赞

313: 画面很细致

314: 每天都领取礼包，很爽啊

315: 一直在玩。。。

316: 有坐骑还有侍宠

317: 跟朋友一起玩呢

318: 游戏做的不错

319: 看起来挺牛逼的

320: 这特码还是好游戏？肤浅的逗比，你玩玩仙国志，玩玩暗黑战神，试试，还敢说这好游戏，还敢说这游戏会火？逗比

321: 垃圾，游戏，玩仙国志吧，就知道这多垃圾了

322: 喜欢雪舞。。。

323: 喜欢电视剧  支持游戏

324: 据说很好玩

325: 大爱兰陵王

326: 喜欢，很不错啊

327: 画面设计的不错

328: 不错哦~挺好玩的

329: 因为喜欢看兰陵王，所以下载玩来试试。还真心不错

330: 好！！！大家快下！！！

331: 我只能说。。。仙剑奇缘比这画面好多少我不解释。。特别是人物仙剑就没法说了。。我喜欢的是这游戏的坐骑。。3阶就看上去不错了。。明天打算进4阶看看

332: 拉级

333: 好玩！虽然只玩了一会！一进入就给元宝！爽！大家快下！以后一定能火！力荐！

334: 卧槽，电视没多久就有游戏了

335: 挺不错的，以后肯定会火，电视剧也看过

336: 我第一次玩，这个游戏要流量吗？需要联网吗？有知道的说个...3Q。

337: 好喜欢~尤其是里面的画面做的很棒

338: 画面很漂亮，电视剧我看过，玩玩试试！

339: 还不错，支持下。

340: 朋友推荐的，过来看看

341: 和朋友们一起玩耍

342: 游戏很给力啊

343: 很喜欢这款游戏

344: 喜欢雪舞。。

345: 一直都很喜欢这部电视剧

346: 推荐下载啊

347: 人物画的很像啊

348: 和朋友们一起玩

349: 肯定会好玩吧

350: 兰陵王也有游戏了啊，支持

351: 喜欢这个电视剧，也支持这款游戏

352: 游戏不错  画面精美

353: 果断下载。。。

354: 明明痕好玩

355: 很喜欢做的画面

356: 很期待，还没下载

357: 看起来不错哦

358: 画面看起来很棒

359: 为什么评价不了

360: 支持支持，很是不错

