1: 哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈哈哈哈好
311: 奇怪，怎么打不开呢?

312: 玩不了，内存太大了

313: 为什么打不开，求破解

314: 这个游戏真是太棒了，感谢爸爸去哪儿官网

315: 好   1000000个赞

316: 很好啊很好，希望继续加油努力呀！

317: 下了打不开

318: 电影关卡不能玩，

319: 好玩

320: 垃圾游戏

321: 不错哦，我什么东西都有了赞一个！！！

322: 不错，非常好，力荐

323: 我靠，这个东西怎么下的但玩不了。

324: 真恶擦擦擦擦擦擦擦擦擦擦

325: 这个游戏很好玩，画面也特别漂亮，好喜欢，赞一个

326: 很好玩，赶快下载吧。

327: 太好玩

328: 好喜欢 很赞

329: 好喜欢一款极限男孩2。

330: 哈哈哈  真的很不错呀  亲们应该用找了助手玩的。省钱了还有免费的的道具可用，萌爸萌娃开心梦跑酷呀

331: 好刺激呀  复活不需要支付的  你要用对软件  我用那个找乐游戏助手玩的  根本不花钱  无聊的时候还可以抽抽奖

332: 挺好玩的，越来越耐玩，快更新快更新！！

333: 还不错吧！！！！！

334: 还的登陆，什么啊

335: 好刺激，还玩了款跑酷自行车2，好给力。。

336: 非常差！！！！！！！居然玩不了！！！？！

337: 呵呵，不错嘛小子

338: 安装失败

339: 还行吧，有些地方要付钱,而且还闪退

340: 推荐款免费的单机射击游戏 焚天战机。

341: 推荐单机冒险游戏  杰克大冒险  。

342: 我一点一下，出来画面，点了四次，他才出来，爸爸去哪儿官方游戏都不好，爸爸去哪儿2一下子就开出来啦，把他删除就算啦。

343: 我看到图片上还有什么三星送宝石，是假的，垃圾，连复活还要支付，烦人，我就不玩这个游戏吗！！！！！！！！！！！！！！

344: 我才玩了40几关，几天都没有玩啦，我觉得一点都不好玩

345: 坑爹，我下载就开始玩，玩到第59关吧，就没有继续玩。第二天，我一打开游戏，明明登录两天即可获得一个奥特蛋，我点击领取时，只说，还有一天呢！更好笑的是，我从59关到了第1关！太差劲了！一会卸载了！

346: 197根本就过不去

347: 不好玩---鄙视这个游戏

348: 什么都要钱

349: 太好?玩了，爆好?

350: 太坑爹了！

351: ........................................................................................................................................................................................................

352: 哈哈哈  用找？乐改钥匙  带领萌娃开心跑酷吧

