1: 为什么一开数据登陆360账号就老闪退，为什么为什么，
166: 又卡住了，就是不可以上传图片，

167: 总是卡住

168: 别下，20关以后好难，几乎过不了，而且只有5颗心，恢复一颗要半个小时，千万别下

169: 总显示应用已停止，不玩游戏也显示，但显示的同时不影响其他功能使用。如果不解决这问题就直接卸了！

170: 重下后账号信息怎么都没了，要从第一关重新过，郁闷

171: 一到开始界面就卡死了

172: 游戏不错，但卡得要死

173: 每次一联网登账号就会卡死……不联网就没事

174: 比以前难打开，太慢，太卡了，希望能改进。

175: 对啊，怎么就没有登陆了呢？我都玩到了320关了，现在重新下载就要重头玩过。

176: 重新下载后怎么没有360登陆了？

177: 好是好的

178: 这游戏，现在更新之后点不开，不更新就一直提示更新，点取消也不行，这什么毛病

179: 给登录就5星，不给就1星

180: 这游戏都是bug呀，都不改进，对得起我们用户吗！！！！

181: sb设计的自动旋转屏幕。又没法关闭。躺着就没办法玩。

182: 自动旋转屏幕。真的很恶心。晚上没办法躺着玩儿。也不知道是哪个傻逼设计的。这么大的公司请了个傻逼设计的自动旋转屏幕，真是瞎了眼了。请问设计者，你设计当初有没有试着玩一下。你设计的自动旋转屏幕，唯一的好处就是你挨骂？

183: 为什么不能账号登录了!!!

184: 为什么购买不了道具

185: 手机刷机了，怎么恢复到原来的关卡？

186: 噢~真的很好玩，可是玩过几局以后，是要收费赚玩家的买道具钱！有许多玩家会因为不想花钱或花不起钱买这些不当吃不当喝的游戏道具而卸载这个游戏，也可以说是你们自己拉住玩家叫玩家不要玩你们的游戏。不是吗？

187: 红心恢复太太太太慢了！！！

188: 1取消重力感应，完全多余
2不能保存进度，这让玩了好久的关卡，一更新或者一卸载重装就完全没有了！
3
有些关卡太难了，比如有的雪狼或者寒冰风暴。如果道具可以通过多途径获得一些，也许不会引来这么多的吐槽…
4红心恢复时间太长！！
这么多人玩肯定是有很多优点的，但也希望你们做游戏维护的，能看到大家反应的各种问题与不满，祝你们做的越来越好！

189: 快升级好不好，每次到开始页面就卡死了，还让不让人玩了

190: 重更新以后，三天一卡机，需要重新卸载安装！！！！能不能弄一下！！！！

191: 闪退不要玩

192: 一起玩游戏的室友叫我玩pp语音，说可以恋爱约会游戏，绝对单身好室友啊！

193: 闪退.垃圾游戏.

194: 闪退闪退总是闪退

195: 现在不是每天登陆抽奖了！而且还有bug

196: 好难，而且经常打不开

197: 为什么不能用360账号玩，这样都得不到道具怎么玩

198: 全部540关done。希望不要转屏，恢复每周四-周日的寻宝，登录抽奖保证每天都有而不是两天一次。

199: @快乐咯

200: 难度太大，还有为什么无法登入360账号

201: 快通关了，怎么更新完又从头开始，也不让登陆了。

202: 一直闪退闪退，要命。千万不要下

203: 很棒星

204: 动不动就打不开卡死，什么破游戏啊就没人管吗！

205: 用联网吗

206: 枫林关和圣诞关都比较好玩，就是不能每天抽奖，还是老是自己乱横屏，我也是醉了~

207: 我靠！经常进入卡死！每天登录抽奖的活动也经常没有了！！！！！！！！更新以后各种bug！！！！！做游戏的你们都不玩吗？？？？？

208: 设计者你出来，我绝不打你

209: 设计者，不停来回转屏到底是啥意思？好烦人的知道不！

210: 那麼辛苦玩了兩百多關，都進去夏日的了。不小心刪除了。難道就只能讓我重新來過嗎？怎麼都不能同步了一樣，

211: 好难哦

212: 怎么之前玩过的,后来删了就不见了那些玩过的关卡的？！

213: 发现问题了，把WiFi和移动网络斗关了，就可以玩了……不然一连网就打不开～这个好友功能和每日登陆抽奖就丧失了……

214: 最近经常登陆无响应。

215: 不知道怎么突然打不开了，卸载重新也不行～干什么灰机……斗玩了那么久了～

216: 已玩到夏日关卡73关  每天玩的加好友

217: 冬日关卡的108级怎么过啊？？为什么一直都过不了呢？

218: 必安在手机内存上，而且还会闪退，根本耍不起

219: 嘿嘿嘿，说一直横竖屏切换的都是睡觉玩的吧，嘿嘿嘿

220: 好！！！！！！！！！！！！！！！！！！！！！！！！！

221: 为啥评论老失败？

222: 能不能不要自动重力感应切换横竖屏？烦死了！！！

223: 登陆360有什么用吗？我就没有登陆！

224: 妈逼，更新后我通关的都只有从头开始

225: 为什么我的突然间从头开始了，我已经快通关了啊！！！！！！

226: 雪狼关卡好讨厌！

227: 好刺激，还喜欢一款免费的终结跑车2

228: 三星p3100无法保存进度，每次重新打开游戏，都从第一关开始玩……希望游戏制作团队能解决一下，看在这么喜欢这部动画片的份上5颗星

229: 话说很好玩啊！嗯，闪退的根据之前那个人说的应该是你们登陆了360账号吧，不登陆的话就不会闪退了。至于存档什么的我都是用手机的。红米什么的完美运行一点上腿都没有而且超好玩关键是这个版本感觉，比上一个版本简单了许多。同样是一个版本这个版本的道具捡到手软的。划了两下就有好多好多的特效，嗯红米版的完全没有。推荐推荐哦。话说这个游戏看起来没什么，玩儿的时候真心感觉好华丽的。

230: 要联网？！

231: 更新后都进不去了，怎么回事啊！

232: 鬼东西，我呸

233: 更新以后联网玩一会就闪退;天天都联网玩一会，但是每日登陆七天就领到过两次

234: 那些春节关卡什么的在哪里打

235: 重力感应太多余了。。。抓紧删掉吧。因为这个斗不想玩了。讨厌

236: 推荐小游戏砸罐子很好玩还免费！！！

237: 好玩是好玩！为什么无限挑战时有时无啊！！为神马！！不开心T^T

238: 更新后一进就闪退，还不如不更

239: 重力感应完全多余。。。删掉吧！！！！怒啦

240: 越更新越不好用，那个屏幕自动旋转是怎么回事？完全不需要这个功能啊，非常多余，还有每次都需要重新登陆。

241: 换了个手机重新下载居然要从第一关重新打～唉～我原来都打到271了！

242: 使用360登陆，之后就无限闪退，安卓4.0版本以上请谨慎安装使用。。。
也请360游戏运行商尽快解决这个bug

243: 游戏是不错，但是新版本老是闪退，进不去游戏啦。我的是小米2A机，知道这样还不如不升级呢

244: 第二次打开游戏就能登录了，玩了好长时间了，很喜欢

245: 为什么没有用户登录了？以前的冲的钱啥的都不在了

246: 过不了关就卸载，然后再下起来，这样就送几个道具，然后就过关啦。新版的好玩多了

247: 太费电！！

248: 快调成能适合5.0的版本吧，一登录就闪退……

249: 不小心卸了，可是再下下来居然从第一关开始。。。

250: 有点难，可是挺好玩儿的。O(∩_∩)O哈哈~

251: 玩到240多，但是一会儿卡一个星期，一会儿卡一卡，不知道什么时候可以开始夏日关卡了

252: 202过不去啊

253: 我卡在了202关，求助怎么过

254: 360怎么不能进，冬天通关了叫我重来，不玩了

255: 不好玩

256: 我玩到了57关了，可是，老是闪退，我不知道这么办好呢？

257: 占内存越来越大

258: 听好玩的

259: 就是很一般的游戏哦。没什么嘛！！！

260: 20关之后就比较难，恢复好慢，一次才五颗心，玩的不爽，就是要买道具呗，联网之后超级卡，就是画面比较好看

261: 原来的版本可以用360帐号登录，现在都没有那个界面了，卸载之后就得从第一关开始，真倒霉，赶快加上360登录界面吧

