no.	id	content
67	兔子不开花	"渣特效和神剪辑啊…
真是白瞎了我的眼，妖魔是凹凸曼剧组穿越而来的怪兽么…
还有张牙舞爪的小喽喽确定不是从魔戒剧组搬的上半身做成了面具戴在了人畜无害的老百姓身上么…
白子画踩着风火轮是什么鬼…说好的仙飘飘的男神都被各种近镜头拍成了鞋拔子脸了…"
68	母神	开场给我一种一群人就没想好好拍戏全是业余演员的感觉……加上那特效醉醉哒，倒也挺贴切小说傻乎乎的水准
69	優叔	。
70	Gabriel	玛丽苏小说哪来这多原著高贵党←_←
71	宇文宙	女猪你不是号称是世上最后一个神嘛，可是除了让花凋谢和玛丽苏到让人起荨麻疹以外也没看出有什么特别本领，原来你是除草剂之神啊！
72	苗小	打倒水军
73	99a837c	什么垃圾 画面竟然还用指环王的片段
74	优昙罗	五毛特效……
75	月夜刺死燕尾蝶	相比之下，还是诚意之作，特效演员配乐都不错（要知道，国产剧特效是硬伤）但是那些给一分的，你们才是脑残吧。
76	Sarar.C	道具组好大的手笔哈哈哈，太玛丽苏了真是教坏青少年啊??。。一个光天化日到处在野外洗澡的女主也太随便了吧，真的能被这么优质男人们看上么，只能说只有女人才能鉴的出绿茶表
77	何以慕笙歌	长留上仙似画人
78	随小喜	本来看完预告有期待的说,看了正片不到5分钟,从白胡子飞来飞去,忍到那个16岁的独白在念啊念啊,往后使劲一拉,黑老大的装扮出现了,我在想这到底是什么鬼啊?????遂关!
79	123	多加的星都是给霍建华，眉眼如画，鬓若刀刻，颜狗的审美就是这么耿直！
80	尘然	什么鬼 能把BGM关了吗 能不剪出莫名其妙纷乱离奇的气氛吗 能别开场十分钟男女主角就过上了没羞没躁的同居生活吗 能别槽点填满每分每秒吗
81	阿诺说	“上仙啊，你有包子吗？“ ”没有“ // “紧张啊，不用紧张，现在拼的是心态” ... 这明明就是年度逗比大作嘛！小说已经够幼稚了，电视剧再一通改编，一通继续幼稚无下限，都不需要吐槽1毛钱特技里扮作妖魔的绒毛玩具，接了100万份地气穷酸劲的长留仙门，呃，法海啊我看不懂（原谅我暂时景横二狗上身）
82	kong	滚粗！！
83	坏人瓦卡卡卡卡	浓浓的芒果台风……看看预告片就可以了呀
84	月色莫名	看了一个开头，也许是我工作原因，对剧本逻辑比较敏感，感觉就像是拼的剧情，零零散散逻辑太松散了，弃了吧
85	大筒木 一乐	我妈爱看这个，直播重播天天放，瞎了
86	严措	好羞耻的布景和特效
